ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. BONY Clément (LFI);M. GRÉGOIRE Emmanuel (PS);Mme MAZETIER Sandrine (LREM Buzyn);Mme MONTANDON Valérie (LR);M. REBOURG Patrick (LREM Villani);Mme PIERRE-MARIE Emmanuelle (EELV);
18;Municipales;2020;1;15/03/2020;8;46;12;18;25;1403;681;681;3;9;669;28;249;91;148;54;90;
19;Municipales;2020;1;15/03/2020;8;46;12;19;26;1578;632;632;4;6;622;40;214;110;132;46;63;
20;Municipales;2020;1;15/03/2020;8;46;12;20;22;1352;665;665;4;8;653;26;214;115;152;70;67;
21;Municipales;2020;1;15/03/2020;8;46;12;21;19;1607;668;668;2;9;657;26;222;114;149;58;69;
22;Municipales;2020;1;15/03/2020;8;46;12;22;15;1519;562;562;5;10;547;55;190;57;134;34;62;
23;Municipales;2020;1;15/03/2020;8;46;12;23;20;1394;539;539;1;8;530;25;158;99;143;35;59;
24;Municipales;2020;1;15/03/2020;8;46;12;24;19;1435;609;609;2;11;596;38;203;98;105;46;96;
25;Municipales;2020;1;15/03/2020;8;46;12;25;12;1541;621;621;3;16;602;20;194;91;169;41;77;
26;Municipales;2020;1;15/03/2020;8;46;12;26;24;1370;616;617;2;12;603;18;157;118;170;42;83;
27;Municipales;2020;1;15/03/2020;8;46;12;27;15;1386;679;679;4;9;666;54;211;91;145;46;95;
28;Municipales;2020;1;15/03/2020;8;46;12;28;12;1401;571;571;2;10;559;35;157;87;151;30;81;
29;Municipales;2020;1;15/03/2020;8;46;12;29;9;1372;536;536;4;10;522;13;126;104;159;41;64;
30;Municipales;2020;1;15/03/2020;8;45;12;30;21;1385;644;644;6;8;630;22;203;112;178;43;64;
31;Municipales;2020;1;15/03/2020;8;45;12;31;30;1444;681;681;3;10;668;30;214;113;169;51;80;
32;Municipales;2020;1;15/03/2020;8;45;12;32;21;1504;666;666;1;10;655;23;208;100;162;59;91;
33;Municipales;2020;1;15/03/2020;8;45;12;33;14;1504;637;637;8;3;626;31;182;106;158;60;72;
34;Municipales;2020;1;15/03/2020;8;45;12;34;26;1562;756;756;7;5;744;35;189;154;192;72;91;
35;Municipales;2020;1;15/03/2020;8;45;12;35;18;1471;734;734;5;13;716;28;170;156;218;54;75;
36;Municipales;2020;1;15/03/2020;8;45;12;36;14;1384;568;568;5;16;547;29;163;76;164;46;44;
37;Municipales;2020;1;15/03/2020;8;45;12;37;11;1340;550;550;6;7;537;36;167;103;127;37;49;
38;Municipales;2020;1;15/03/2020;8;45;12;38;23;1550;665;665;4;7;654;27;197;99;146;92;74;
39;Municipales;2020;1;15/03/2020;8;45;12;39;19;1220;524;524;3;6;515;30;137;80;140;55;65;
40;Municipales;2020;1;15/03/2020;8;45;12;40;13;1271;584;584;4;3;577;39;195;89;118;51;72;
41;Municipales;2020;1;15/03/2020;8;45;12;41;17;1286;587;587;6;3;578;21;192;124;125;33;71;
42;Municipales;2020;1;15/03/2020;8;45;12;42;22;1363;591;591;4;4;583;36;197;88;132;49;67;
43;Municipales;2020;1;15/03/2020;8;45;12;43;9;1165;454;454;2;9;443;33;106;70;122;24;64;
44;Municipales;2020;1;15/03/2020;8;45;12;44;22;1518;630;630;2;5;623;37;179;105;167;47;66;
45;Municipales;2020;1;15/03/2020;8;45;12;45;7;1279;443;443;9;6;428;32;132;54;135;32;27;
46;Municipales;2020;1;15/03/2020;8;47;12;46;21;1523;586;586;6;13;567;14;188;83;142;33;92;
47;Municipales;2020;1;15/03/2020;8;47;12;47;13;1443;503;503;4;10;489;22;152;91;107;42;62;
48;Municipales;2020;1;15/03/2020;8;47;12;48;21;1550;552;552;2;13;537;49;194;77;92;35;74;
49;Municipales;2020;1;15/03/2020;8;47;12;49;29;1594;717;718;6;10;702;41;253;119;132;47;97;
50;Municipales;2020;1;15/03/2020;8;47;12;50;24;1626;621;621;4;10;607;28;229;77;116;53;87;
51;Municipales;2020;1;15/03/2020;7;48;12;51;17;1505;609;609;3;10;596;25;223;103;118;51;61;
52;Municipales;2020;1;15/03/2020;7;48;12;52;26;1264;599;599;5;12;582;25;204;113;109;36;90;
53;Municipales;2020;1;15/03/2020;7;48;12;53;42;1623;848;848;4;12;832;30;307;178;142;63;95;
54;Municipales;2020;1;15/03/2020;7;48;12;54;21;1450;520;520;8;13;499;20;170;94;108;27;48;
55;Municipales;2020;1;15/03/2020;7;48;12;55;31;1482;698;698;3;10;685;33;289;101;116;47;90;
56;Municipales;2020;1;15/03/2020;7;48;12;56;24;1480;707;707;2;5;700;36;285;114;109;58;85;
57;Municipales;2020;1;15/03/2020;7;48;12;57;26;1516;665;665;2;9;654;41;273;93;86;58;86;
58;Municipales;2020;1;15/03/2020;7;48;12;58;14;1444;717;717;1;11;705;40;308;99;109;54;76;
59;Municipales;2020;1;15/03/2020;7;48;12;59;11;1245;609;609;6;5;598;38;223;98;116;38;72;
60;Municipales;2020;1;15/03/2020;7;48;12;60;20;1389;579;579;4;3;572;43;218;87;93;39;77;
61;Municipales;2020;1;15/03/2020;8;47;12;61;16;1483;685;685;9;16;660;33;211;95;165;59;75;
62;Municipales;2020;1;15/03/2020;7;48;12;62;33;1410;679;679;2;5;672;30;306;90;95;39;97;
63;Municipales;2020;1;15/03/2020;7;48;12;63;31;1348;564;564;1;10;553;30;191;73;138;40;67;
64;Municipales;2020;1;15/03/2020;8;45;12;64;24;1280;645;645;1;7;637;19;207;105;140;74;77;
;;;;;;;;;;;;;;;;;;;;;;
