ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;Mme MEDDAH Assia (LREM Villani);Mme BUZYN Agnès (LREM Buzyn);M. BOULARD Geoffroy (LR);Mme PEREZ Karina (EELV);Mme TAÏEB Karen (PS)
46;Municipales;2020;1;15/03/2020;4;66;17;46;23;1535;662;660;1;3;656;36;186;262;38;104
47;Municipales;2020;1;15/03/2020;4;66;17;47;37;1479;684;685;3;2;680;21;192;359;31;65
48;Municipales;2020;1;15/03/2020;4;66;17;48;14;1377;610;610;1;6;603;45;203;254;38;45
49;Municipales;2020;1;15/03/2020;4;66;17;49;20;1392;649;650;1;8;641;35;162;348;22;51
50;Municipales;2020;1;15/03/2020;4;66;17;50;24;1460;672;672;2;6;664;29;191;337;39;56
51;Municipales;2020;1;15/03/2020;4;66;17;51;34;1421;659;659;5;5;649;30;168;328;42;56
52;Municipales;2020;1;15/03/2020;4;66;17;52;25;1524;693;693;0;6;687;29;173;338;44;78
53;Municipales;2020;1;15/03/2020;4;65;17;53;21;1577;679;679;1;8;670;35;153;333;41;82
54;Municipales;2020;1;15/03/2020;4;65;17;54;33;1581;698;699;4;7;688;35;175;347;43;69
55;Municipales;2020;1;15/03/2020;4;65;17;55;15;1630;721;721;5;4;712;36;198;346;49;59
56;Municipales;2020;1;15/03/2020;4;65;17;56;21;1732;715;715;3;5;707;32;169;338;59;94
57;Municipales;2020;1;15/03/2020;4;65;17;57;15;1496;547;546;4;11;531;25;92;262;34;75
58;Municipales;2020;1;15/03/2020;4;65;17;58;12;1469;615;615;4;11;600;28;98;299;43;97
59;Municipales;2020;1;15/03/2020;4;65;17;59;9;1538;570;570;3;7;560;33;137;283;31;47
60;Municipales;2020;1;15/03/2020;4;65;17;60;22;1455;661;661;5;4;652;36;159;325;35;73
61;Municipales;2020;1;15/03/2020;4;65;17;61;26;1478;699;699;2;4;693;33;166;376;30;63
62;Municipales;2020;1;15/03/2020;4;65;17;62;22;1473;695;696;4;7;685;36;193;328;30;75
63;Municipales;2020;1;15/03/2020;4;65;17;63;15;1495;602;602;2;5;595;42;137;276;28;90
64;Municipales;2020;1;15/03/2020;4;65;17;64;29;1497;657;657;1;5;651;37;186;325;32;56
65;Municipales;2020;1;15/03/2020;4;65;17;65;16;1390;639;639;1;3;635;28;182;308;38;62
66;Municipales;2020;1;15/03/2020;4;65;17;66;14;1646;653;653;5;5;643;54;172;278;44;75
67;Municipales;2020;1;15/03/2020;4;65;17;67;15;1616;685;684;2;6;676;30;178;318;41;81
