ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. PLIEZ Eric (PS);M. DIDIER François-Marie (LR);M. NEZZAR Rayan (LREM Villani);Mme SIMONNET Danielle (LFI);Mme CALANDRA Frédérique (LREM Buzyn);Mme GUHL Antoinette (EELV)
28;Municipales;2020;1;15/03/2020;15;78;20;28;9;1472;532;532;3;7;522;158;108;37;42;89;50
29;Municipales;2020;1;15/03/2020;15;78;20;29;13;1515;640;640;3;36;601;210;111;52;52;88;56
30;Municipales;2020;1;15/03/2020;15;78;20;30;3;1763;417;416;22;4;390;126;82;25;48;50;24
31;Municipales;2020;1;15/03/2020;15;78;20;31;19;1604;563;563;7;18;538;188;123;38;45;56;50
32;Municipales;2020;1;15/03/2020;15;78;20;32;24;1560;573;573;5;20;548;213;101;47;38;55;52
33;Municipales;2020;1;15/03/2020;15;80;20;33;5;1430;357;357;3;13;341;98;95;19;33;42;17
34;Municipales;2020;1;15/03/2020;15;80;20;34;9;1440;457;457;2;10;445;149;78;23;52;43;40
35;Municipales;2020;1;15/03/2020;15;80;20;35;6;1425;428;428;7;15;406;131;77;19;41;57;25
36;Municipales;2020;1;15/03/2020;15;80;20;36;8;1246;358;358;3;15;340;104;68;17;37;49;39
37;Municipales;2020;1;15/03/2020;15;80;20;37;12;1582;526;526;4;33;489;186;58;52;58;54;46
38;Municipales;2020;1;15/03/2020;15;80;20;38;14;1449;539;539;6;28;505;193;71;34;53;48;47
39;Municipales;2020;1;15/03/2020;15;80;20;39;8;1436;464;463;2;16;445;118;88;29;57;46;42
40;Municipales;2020;1;15/03/2020;15;80;20;40;7;1469;528;528;5;21;502;155;86;38;54;78;37
41;Municipales;2020;1;15/03/2020;15;80;20;41;13;1550;499;499;5;27;467;160;76;33;51;56;39
42;Municipales;2020;1;15/03/2020;15;80;20;42;19;1519;667;667;4;29;634;243;83;49;78;63;74
43;Municipales;2020;1;15/03/2020;15;80;20;43;21;1811;818;820;6;40;774;301;94;51;102;101;88
44;Municipales;2020;1;15/03/2020;15;80;20;44;37;1897;850;850;3;36;811;344;92;62;76;103;82
45;Municipales;2020;1;15/03/2020;15;80;20;45;20;1838;820;819;4;17;798;302;79;54;81;116;110
46;Municipales;2020;1;15/03/2020;15;80;20;46;14;1638;684;684;6;32;646;251;84;44;66;94;73
47;Municipales;2020;1;15/03/2020;15;80;20;47;10;1623;675;675;7;29;639;253;69;53;77;80;71
48;Municipales;2020;1;15/03/2020;15;80;20;48;21;1760;800;800;1;15;784;329;98;45;57;94;119
49;Municipales;2020;1;15/03/2020;15;80;20;49;34;1888;852;852;2;29;821;357;74;42;76;108;120
50;Municipales;2020;1;15/03/2020;15;80;20;50;29;1695;863;863;2;32;829;330;106;65;61;126;114
51;Municipales;2020;1;15/03/2020;15;80;20;51;25;1771;807;808;10;29;769;302;117;54;44;119;84
52;Municipales;2020;1;15/03/2020;8;80;20;52;14;1355;644;644;5;34;605;216;107;40;80;79;49
53;Municipales;2020;1;15/03/2020;8;80;20;53;16;1410;682;682;4;7;671;221;115;51;55;107;75
54;Municipales;2020;1;15/03/2020;8;80;20;54;8;1547;453;453;10;17;426;145;65;38;58;51;36
55;Municipales;2020;1;15/03/2020;8;80;20;55;9;1450;434;434;9;15;410;117;83;28;45;48;37
56;Municipales;2020;1;15/03/2020;8;80;20;56;4;1357;423;423;2;13;408;135;71;43;26;57;42
57;Municipales;2020;1;15/03/2020;8;80;20;57;21;1389;633;633;4;26;603;196;123;41;59;102;51
58;Municipales;2020;1;15/03/2020;6;79;20;58;29;1694;753;753;7;35;711;309;73;56;65;80;86
59;Municipales;2020;1;15/03/2020;6;79;20;59;28;1734;780;783;3;50;730;267;91;52;95;100;105
60;Municipales;2020;1;15/03/2020;6;79;20;60;19;1351;649;649;2;26;621;231;92;47;55;103;61
61;Municipales;2020;1;15/03/2020;6;79;20;61;26;1492;641;641;1;20;620;251;54;37;77;77;95
62;Municipales;2020;1;15/03/2020;6;79;20;62;15;1529;545;548;2;10;536;193;67;26;67;70;71
63;Municipales;2020;1;15/03/2020;6;79;20;63;9;1428;413;413;2;32;379;129;37;25;57;43;44
64;Municipales;2020;1;15/03/2020;6;79;20;64;10;1229;513;513;7;28;478;195;54;28;46;70;51
65;Municipales;2020;1;15/03/2020;6;79;20;65;14;1258;609;610;0;33;577;256;73;30;59;87;52
66;Municipales;2020;1;15/03/2020;6;79;20;66;10;1217;548;551;1;9;541;193;72;49;52;82;70
67;Municipales;2020;1;15/03/2020;6;79;20;67;26;1341;593;593;6;29;558;231;51;31;68;60;95
68;Municipales;2020;1;15/03/2020;6;79;20;68;19;1472;583;583;3;17;563;211;56;36;99;47;97
69;Municipales;2020;1;15/03/2020;6;79;20;69;18;1485;621;622;5;29;588;255;75;33;81;48;67
70;Municipales;2020;1;15/03/2020;6;77;20;70;20;1735;773;773;7;37;729;299;80;45;91;84;94
71;Municipales;2020;1;15/03/2020;6;77;20;71;31;1704;762;763;6;32;725;279;71;39;121;69;105
72;Municipales;2020;1;15/03/2020;6;77;20;72;41;1676;646;646;6;37;603;240;50;37;115;53;76
73;Municipales;2020;1;15/03/2020;6;77;20;73;27;1626;717;717;2;39;676;307;57;31;98;62;96
74;Municipales;2020;1;15/03/2020;6;77;20;74;20;1653;723;724;4;34;686;321;56;45;77;57;103
75;Municipales;2020;1;15/03/2020;6;77;20;75;13;1805;561;561;3;7;551;206;51;28;102;39;91
76;Municipales;2020;1;15/03/2020;6;77;20;76;21;1973;725;725;4;18;703;325;46;30;107;66;98
