ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. PENG Chang Hua (LREM Buzyn);M. BEN MERZOUG Amir (LREM Villani);M. QNOUCH Raphaël (LFI);M. COUMET Jérôme (PS);Mme SOUYRIS Anne (EELV);M. OLIVIER Jean-Baptiste (LR);
22;Municipales;2020;1;15/03/2020;9;50;13;22;8;1606;480;480;8;11;461;33;35;22;197;44;85;
23;Municipales;2020;1;15/03/2020;9;50;13;23;20;1468;562;563;4;8;551;56;42;42;203;63;99;
24;Municipales;2020;1;15/03/2020;9;50;13;24;9;1440;516;516;7;11;498;55;43;33;204;51;87;
25;Municipales;2020;1;15/03/2020;9;50;13;25;4;1754;572;572;5;12;555;63;38;32;221;46;95;
26;Municipales;2020;1;15/03/2020;9;50;13;26;13;1692;726;726;6;11;709;74;48;52;302;78;115;
27;Municipales;2020;1;15/03/2020;9;50;13;27;19;1763;729;730;6;9;715;76;58;40;318;84;81;
28;Municipales;2020;1;15/03/2020;9;50;13;28;20;1753;825;825;10;10;805;96;54;49;338;80;118;
29;Municipales;2020;1;15/03/2020;9;50;13;29;7;1331;446;446;8;8;430;34;27;30;180;33;75;
30;Municipales;2020;1;15/03/2020;9;50;13;30;20;1675;716;716;6;6;704;66;45;56;284;68;109;
31;Municipales;2020;1;15/03/2020;9;50;13;31;23;1348;625;625;3;15;607;86;56;33;210;40;99;
32;Municipales;2020;1;15/03/2020;9;50;13;32;19;1665;639;639;7;8;624;57;46;35;253;76;88;
33;Municipales;2020;1;15/03/2020;9;49;13;33;2;694;184;184;0;6;178;21;7;21;69;23;19;
34;Municipales;2020;1;15/03/2020;9;50;13;34;32;1918;865;865;5;6;854;135;57;53;339;78;144;
35;Municipales;2020;1;15/03/2020;10;51;13;35;14;1227;497;497;3;4;490;55;38;34;192;64;79;
36;Municipales;2020;1;15/03/2020;10;51;13;36;0;1422;636;636;9;1;626;86;48;37;243;68;116;
37;Municipales;2020;1;15/03/2020;10;51;13;37;12;1725;557;557;6;8;543;55;24;47;222;50;93;
38;Municipales;2020;1;15/03/2020;10;51;13;38;4;1433;496;496;1;8;487;90;42;28;165;36;97;
39;Municipales;2020;1;15/03/2020;10;51;13;39;14;1810;573;572;4;8;560;63;34;44;248;39;103;
40;Municipales;2020;1;15/03/2020;10;51;13;40;18;1640;731;732;4;8;720;105;64;33;284;96;106;
41;Municipales;2020;1;15/03/2020;10;51;13;41;47;1813;719;720;6;10;704;68;42;53;306;93;109;
42;Municipales;2020;1;15/03/2020;10;51;13;42;4;1522;461;461;7;12;442;43;20;32;190;39;87;
43;Municipales;2020;1;15/03/2020;10;51;13;43;57;1780;769;769;5;7;757;99;36;64;327;81;117;
44;Municipales;2020;1;15/03/2020;10;51;13;44;10;1476;481;482;7;6;469;52;27;38;200;42;83;
45;Municipales;2020;1;15/03/2020;10;51;13;45;11;1406;456;456;4;6;446;52;36;26;181;47;80;
46;Municipales;2020;1;15/03/2020;10;51;13;46;9;1679;608;610;8;11;591;87;42;27;203;51;119;
47;Municipales;2020;1;15/03/2020;10;51;13;47;26;1790;826;826;5;9;812;85;77;43;331;89;148;
48;Municipales;2020;1;15/03/2020;10;51;13;48;23;1749;737;737;3;4;730;86;70;36;314;83;106;
49;Municipales;2020;1;15/03/2020;10;51;13;49;14;1703;807;807;3;6;798;101;67;43;334;90;133;
50;Municipales;2020;1;15/03/2020;10;51;13;50;30;1686;808;808;7;7;794;92;73;53;314;108;124;
51;Municipales;2020;1;15/03/2020;10;51;13;51;17;1702;756;756;4;10;742;110;60;41;285;81;141;
52;Municipales;2020;1;15/03/2020;10;51;13;52;9;1357;633;633;2;9;622;97;51;33;254;62;91;
53;Municipales;2020;1;15/03/2020;10;51;13;53;16;1300;474;474;3;6;465;54;33;17;192;61;78;
54;Municipales;2020;1;15/03/2020;10;51;13;54;20;1691;828;828;7;12;809;104;54;35;338;92;131;
55;Municipales;2020;1;15/03/2020;10;51;13;55;12;1265;522;522;6;9;507;63;44;18;191;49;98;
56;Municipales;2020;1;15/03/2020;10;51;13;56;35;1635;755;755;5;5;745;81;63;41;298;82;145;
57;Municipales;2020;1;15/03/2020;10;51;13;57;27;1536;703;703;7;6;690;68;62;55;250;96;133;
58;Municipales;2020;1;15/03/2020;10;51;13;58;33;1635;712;713;2;10;701;98;64;48;283;81;101;
59;Municipales;2020;1;15/03/2020;10;51;13;59;24;1782;712;713;7;10;696;99;61;27;267;81;134;
60;Municipales;2020;1;15/03/2020;9;52;13;60;24;1598;680;681;5;9;667;93;52;21;285;86;93;
61;Municipales;2020;1;15/03/2020;9;52;13;61;12;1583;748;748;1;6;741;128;48;33;282;96;118;
62;Municipales;2020;1;15/03/2020;9;52;13;62;20;1700;880;881;4;17;860;146;66;20;321;91;179;
63;Municipales;2020;1;15/03/2020;9;52;13;63;28;1358;687;688;2;10;676;127;68;22;232;73;126;
64;Municipales;2020;1;15/03/2020;9;52;13;64;20;1428;660;660;4;11;645;97;50;42;267;67;99;
65;Municipales;2020;1;15/03/2020;9;52;13;65;29;1678;818;818;0;9;809;135;60;56;315;79;146;
66;Municipales;2020;1;15/03/2020;9;52;13;66;28;1656;746;746;1;6;739;138;55;34;243;103;138;
67;Municipales;2020;1;15/03/2020;9;52;13;67;22;1502;643;643;2;8;633;93;47;27;234;75;130;
68;Municipales;2020;1;15/03/2020;9;50;13;68;18;1513;657;657;0;6;651;76;35;49;308;77;77;
69;Municipales;2020;1;15/03/2020;10;51;13;69;23;1398;643;643;1;6;636;83;52;36;230;73;136;
70;Municipales;2020;1;15/03/2020;9;50;13;70;18;1203;543;543;6;11;526;64;42;43;211;45;91;
71;Municipales;2020;1;15/03/2020;9;50;13;71;16;1359;591;591;8;5;578;66;47;29;270;44;83;
