ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. VILLANI Cédric (LREM Villani);M. LETISSIER Florentin (EELV);Mme CARRERE-GEE Marie-Claire (LR);M. AZIERE Éric (LREM Buzyn);Mme ESSEMLALI Lamya (LFI);Mme PETIT Carine (PS)
29;Municipales;2020;1;15/03/2020;11;53;14;29;30;1625;734;734;4;9;721;99;99;114;107;22;257
30;Municipales;2020;1;15/03/2020;11;53;14;30;22;1424;691;691;1;3;687;82;65;153;138;9;209
31;Municipales;2020;1;15/03/2020;11;53;14;31;21;1402;709;709;4;14;691;101;65;154;155;12;194
32;Municipales;2020;1;15/03/2020;11;53;14;32;25;1423;670;672;7;7;658;87;61;125;131;18;194
33;Municipales;2020;1;15/03/2020;11;53;14;33;44;1582;730;730;5;11;714;89;97;166;124;20;207
34;Municipales;2020;1;15/03/2020;11;54;14;34;14;1380;668;668;7;7;654;115;78;125;109;20;184
35;Municipales;2020;1;15/03/2020;11;54;14;35;18;1496;744;744;2;5;737;114;71;145;155;14;217
36;Municipales;2020;1;15/03/2020;11;54;14;36;15;1319;529;529;4;11;514;55;52;122;78;23;154
37;Municipales;2020;1;15/03/2020;11;54;14;37;14;1486;643;643;2;6;635;69;77;139;89;27;212
38;Municipales;2020;1;15/03/2020;11;54;14;38;18;1320;639;639;5;7;627;93;68;102;110;25;213
39;Municipales;2020;1;15/03/2020;11;54;14;39;18;1454;654;654;6;3;645;87;78;140;107;24;179
40;Municipales;2020;1;15/03/2020;10;54;14;40;20;1596;725;725;3;6;716;93;76;138;122;25;242
41;Municipales;2020;1;15/03/2020;10;54;14;41;25;1705;713;713;2;9;702;85;77;137;130;39;217
42;Municipales;2020;1;15/03/2020;10;55;14;42;15;1758;726;726;1;4;721;93;100;134;90;28;256
43;Municipales;2020;1;15/03/2020;10;55;14;43;23;1499;727;727;3;8;716;85;89;155;96;28;241
44;Municipales;2020;1;15/03/2020;10;55;14;44;12;1502;587;587;2;8;577;48;67;104;75;27;213
45;Municipales;2020;1;15/03/2020;10;55;14;45;14;1549;504;504;3;11;490;26;47;131;53;33;176
46;Municipales;2020;1;15/03/2020;10;56;14;46;19;1376;674;675;2;9;664;70;78;127;95;27;238
47;Municipales;2020;1;15/03/2020;10;56;14;47;17;1427;556;556;7;7;542;43;63;151;73;17;168
48;Municipales;2020;1;15/03/2020;10;56;14;48;21;1510;611;611;5;16;590;74;82;105;83;32;193
49;Municipales;2020;1;15/03/2020;10;56;14;49;18;1588;769;769;6;4;759;89;71;170;94;24;285
50;Municipales;2020;1;15/03/2020;10;56;14;50;38;1537;719;719;3;6;710;76;80;175;109;23;230
51;Municipales;2020;1;15/03/2020;10;56;14;51;8;1422;538;539;3;10;526;48;41;114;84;20;179
52;Municipales;2020;1;15/03/2020;10;56;14;52;14;1527;552;552;6;27;519;45;48;108;53;23;189
53;Municipales;2020;1;15/03/2020;10;56;14;53;8;1472;518;518;11;11;496;50;56;104;63;35;154
54;Municipales;2020;1;15/03/2020;10;56;14;54;14;1562;676;676;0;6;670;75;65;191;97;21;191
55;Municipales;2020;1;15/03/2020;10;56;14;55;17;1681;701;701;6;7;688;82;64;137;103;29;231
56;Municipales;2020;1;15/03/2020;10;56;14;56;7;1446;502;502;11;12;479;38;54;125;51;22;149
57;Municipales;2020;1;15/03/2020;10;56;14;57;6;1543;429;429;5;16;408;36;33;85;42;26;130
