ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. GOUJON Philippe (LDVD);Mme IBLED Catherine (LREM Buzyn);Mme NIAKATÉ Aminata (EELV);M. GUIBERT Géraud (LREM Villani);Mme EVREN Agnès (LR);Mme TORANIAN Anouch (PS);;
21;Municipales;2020;1;15/03/2020;12/01/1900;58;15;21;23;1364;632;632;0;6;626;121;124;38;33;206;81;;
22;Municipales;2020;1;15/03/2020;12/01/1900;58;15;22;31;1452;651;652;3;1;648;131;147;36;38;186;90;;
23;Municipales;2020;1;15/03/2020;12/01/1900;58;15;23;35;1522;756;756;1;13;742;143;162;39;50;209;112;;
24;Municipales;2020;1;15/03/2020;12/01/1900;58;15;24;40;1548;722;722;2;7;713;125;136;49;48;239;88;;
25;Municipales;2020;1;15/03/2020;12/01/1900;58;15;25;39;1582;734;736;5;3;728;169;157;47;40;161;124;;
26;Municipales;2020;1;15/03/2020;12/01/1900;58;15;26;23;1575;663;664;3;8;653;123;128;60;49;124;140;;
27;Municipales;2020;1;15/03/2020;12/01/1900;58;15;27;18;1464;558;558;9;4;545;131;77;40;24;129;102;;
28;Municipales;2020;1;15/03/2020;12/01/1900;58;15;28;22;1497;665;662;4;0;658;145;129;36;33;150;141;;
29;Municipales;2020;1;15/03/2020;12/01/1900;58;15;29;50;1515;726;726;6;12;708;166;115;61;55;139;155;;
30;Municipales;2020;1;15/03/2020;12/01/1900;58;15;30;34;1529;755;756;0;5;751;155;139;60;36;175;168;;
31;Municipales;2020;1;15/03/2020;12/01/1900;58;15;31;16;1566;720;720;3;4;713;158;130;45;51;192;115;;
32;Municipales;2020;1;15/03/2020;12/01/1900;58;15;32;40;1508;741;742;1;5;736;138;143;68;43;165;148;;
33;Municipales;2020;1;15/03/2020;12/01/1900;58;15;33;39;1515;719;719;1;5;713;99;134;57;54;207;130;;
34;Municipales;2020;1;15/03/2020;12/01/1900;58;15;34;47;1649;756;756;3;7;746;155;127;62;60;164;148;;
35;Municipales;2020;1;15/03/2020;12/01/1900;58;15;35;17;1656;709;709;2;12;695;113;132;66;63;123;167;;
36;Municipales;2020;1;15/03/2020;12/01/1900;58;15;36;33;1576;729;729;4;7;718;120;120;57;62;156;165;;
37;Municipales;2020;1;15/03/2020;12/01/1900;58;15;37;35;1575;735;736;1;13;722;111;135;59;68;178;134;;
38;Municipales;2020;1;15/03/2020;12/01/1900;58;15;38;11;1507;617;617;5;7;605;119;77;61;39;137;140;;
39;Municipales;2020;1;15/03/2020;12/01/1900;57;15;39;11;1553;540;540;2;4;534;139;60;51;46;97;100;;
40;Municipales;2020;1;15/03/2020;12/01/1900;57;15;40;15;1475;555;555;3;6;546;123;74;51;34;117;113;;
41;Municipales;2020;1;15/03/2020;12/01/1900;57;15;41;25;1614;701;701;6;5;690;131;94;75;47;143;166;;
42;Municipales;2020;1;15/03/2020;13/01/1900;57;15;42;16;1085;434;434;3;9;422;105;69;24;20;108;69;;
43;Municipales;2020;1;15/03/2020;13/01/1900;57;15;43;25;1326;617;617;1;9;607;131;120;42;49;136;95;;
44;Municipales;2020;1;15/03/2020;13/01/1900;57;15;44;10;1557;678;678;8;14;656;125;106;63;45;117;163;;
45;Municipales;2020;1;15/03/2020;13/01/1900;57;15;45;24;1574;669;669;6;6;657;153;86;53;60;118;139;;
46;Municipales;2020;1;15/03/2020;13/01/1900;57;15;46;26;1470;667;667;5;10;652;133;108;56;53;138;138;;
47;Municipales;2020;1;15/03/2020;13/01/1900;57;15;47;19;1614;717;717;4;12;701;114;112;90;51;109;175;;
48;Municipales;2020;1;15/03/2020;13/01/1900;57;15;48;5;1531;486;486;6;6;474;112;43;48;24;108;101;;
49;Municipales;2020;1;15/03/2020;13/01/1900;57;15;49;19;1590;537;537;5;12;520;143;48;49;21;85;130;;
50;Municipales;2020;1;15/03/2020;13/01/1900;57;15;50;12;1470;565;565;1;4;560;121;71;55;52;85;141;;
51;Municipales;2020;1;15/03/2020;13/01/1900;57;15;51;19;1602;691;691;2;6;683;158;98;58;60;125;154;;
52;Municipales;2020;1;15/03/2020;13/01/1900;57;15;52;19;1526;565;564;6;9;549;126;61;43;38;123;119;;
53;Municipales;2020;1;15/03/2020;13/01/1900;57;15;53;10;1564;622;622;4;13;605;94;80;77;60;123;138;;
54;Municipales;2020;1;15/03/2020;13/01/1900;57;15;54;32;1521;666;666;2;10;654;112;100;69;56;138;145;;
55;Municipales;2020;1;15/03/2020;13/01/1900;57;15;55;56;1504;642;642;2;5;635;111;95;69;39;127;164;;
56;Municipales;2020;1;15/03/2020;13/01/1900;57;15;56;30;1694;786;786;4;16;766;143;121;76;60;158;165;;
57;Municipales;2020;1;15/03/2020;13/01/1900;57;15;57;16;1483;680;680;2;7;671;154;132;60;38;132;121;;
58;Municipales;2020;1;15/03/2020;13/01/1900;57;15;58;23;1493;667;667;4;3;660;138;117;50;37;114;181;;
59;Municipales;2020;1;15/03/2020;13/01/1900;57;15;59;18;1525;619;619;2;5;612;110;111;42;35;162;123;;
60;Municipales;2020;1;15/03/2020;13/01/1900;57;15;60;33;1608;760;760;2;6;752;179;141;53;40;169;141;;
61;Municipales;2020;1;15/03/2020;13/01/1900;57;15;61;23;1499;631;631;0;11;620;129;99;40;53;118;162;;
62;Municipales;2020;1;15/03/2020;13/01/1900;57;15;62;40;1546;700;700;2;8;690;155;106;54;54;129;162;;
63;Municipales;2020;1;15/03/2020;13/01/1900;57;15;63;29;1390;674;674;3;5;666;150;105;57;47;141;150;;
64;Municipales;2020;1;15/03/2020;13/01/1900;57;15;64;26;1405;604;605;6;4;595;182;83;46;36;142;89;;
65;Municipales;2020;1;15/03/2020;13/01/1900;57;15;65;23;1390;626;626;4;8;614;175;93;57;38;107;110;;
66;Municipales;2020;1;15/03/2020;13/01/1900;57;15;66;19;1535;643;643;5;7;631;164;107;31;34;165;104;;
67;Municipales;2020;1;15/03/2020;13/01/1900;57;15;67;26;1597;601;601;2;5;594;117;94;57;52;120;129;;
68;Municipales;2020;1;15/03/2020;13/01/1900;57;15;68;20;1638;757;757;3;10;744;146;130;69;61;160;153;;
69;Municipales;2020;1;15/03/2020;13/01/1900;57;15;69;19;1665;641;641;4;12;625;130;72;59;48;137;151;;
70;Municipales;2020;1;15/03/2020;13/01/1900;57;15;70;29;1671;782;782;2;11;769;176;112;72;62;136;180;;
71;Municipales;2020;1;15/03/2020;13/01/1900;60;15;71;21;1641;701;701;3;6;692;161;101;48;57;159;140;;
72;Municipales;2020;1;15/03/2020;13/01/1900;60;15;72;15;1502;553;553;5;7;541;127;77;40;47;111;119;;
73;Municipales;2020;1;15/03/2020;13/01/1900;60;15;73;21;1385;589;590;1;7;582;113;104;45;44;141;108;;
74;Municipales;2020;1;15/03/2020;13/01/1900;60;15;74;18;1581;650;651;3;6;642;140;98;57;45;166;117;;
75;Municipales;2020;1;15/03/2020;13/01/1900;60;15;75;10;1392;652;652;4;10;638;138;118;50;37;156;107;;
76;Municipales;2020;1;15/03/2020;13/01/1900;60;15;76;6;1185;381;381;6;15;360;66;32;37;23;51;112;;
77;Municipales;2020;1;15/03/2020;13/01/1900;60;15;77;22;1513;629;629;5;13;611;110;88;41;52;156;140;;
78;Municipales;2020;1;15/03/2020;13/01/1900;60;15;78;23;1079;468;468;4;5;459;99;70;36;17;100;105;;
79;Municipales;2020;1;15/03/2020;13/01/1900;60;15;79;25;1252;565;565;2;0;563;104;94;46;48;127;113;;
80;Municipales;2020;1;15/03/2020;13/01/1900;60;15;80;14;1512;653;653;5;7;641;114;99;64;48;158;120;;
81;Municipales;2020;1;15/03/2020;13/01/1900;60;15;81;21;1497;682;684;3;8;673;120;125;53;55;157;126;;
82;Municipales;2020;1;15/03/2020;13/01/1900;60;15;82;13;1480;559;559;4;14;541;90;91;43;32;136;117;;
83;Municipales;2020;1;15/03/2020;13/01/1900;60;15;83;12;1558;728;728;5;11;712;135;138;55;48;205;119;;
84;Municipales;2020;1;15/03/2020;13/01/1900;60;15;84;22;1450;614;614;4;6;604;138;107;47;54;128;110;;
85;Municipales;2020;1;15/03/2020;13/01/1900;60;15;85;29;1652;761;761;1;11;749;145;116;64;49;146;196;;
86;Municipales;2020;1;15/03/2020;13/01/1900;60;15;86;23;1292;558;558;0;11;547;125;74;42;42;140;97;;
87;Municipales;2020;1;15/03/2020;13/01/1900;60;15;87;14;1479;621;621;5;3;613;127;92;58;54;111;146;;
88;Municipales;2020;1;15/03/2020;13/01/1900;60;15;88;30;1508;679;679;2;11;666;166;112;36;55;151;122;;
89;Municipales;2020;1;15/03/2020;13/01/1900;60;15;89;23;1451;647;647;3;9;635;125;115;36;42;185;114;;
90;Municipales;2020;1;15/03/2020;13/01/1900;60;15;90;14;1356;608;608;2;7;599;128;108;41;45;139;129;;
91;Municipales;2020;1;15/03/2020;13/01/1900;60;15;91;25;1568;698;699;3;9;687;169;140;66;49;140;107;;
92;Municipales;2020;1;15/03/2020;13/01/1900;60;15;92;15;1464;651;651;1;11;639;149;80;56;49;150;127;;
93;Municipales;2020;1;15/03/2020;13/01/1900;60;15;93;21;1525;656;656;2;12;642;146;91;62;42;128;128;;
94;Municipales;2020;1;15/03/2020;13/01/1900;60;15;94;18;1535;497;497;5;12;480;117;69;35;26;89;114;;
95;Municipales;2020;1;15/03/2020;13/01/1900;60;15;95;32;1400;544;544;2;5;537;113;88;26;30;123;114;;
;;;;;;;;;;;;;;;;;;;;;;;
