ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. ROUXEL Olivier (LREM Buzyn);M. DAGNAUD François (PS);M. LERT Dan (EELV);Mme FORTEZA Paula (LREM Villani);Mme TOUBIANA Marie (LR);Mme LEGRAIN Sarah (LFI)
38;Municipales;2020;1;15/03/2020;16;75;19;38;26;1403;524;524;3;10;511;51;208;79;26;59;68
39;Municipales;2020;1;15/03/2020;16;75;19;39;27;1449;585;585;8;6;571;43;251;75;41;78;55
40;Municipales;2020;1;15/03/2020;16;75;19;40;9;1410;489;489;7;13;469;48;169;66;23;83;44
41;Municipales;2020;1;15/03/2020;16;74;19;41;5;1482;460;460;9;7;444;64;173;44;23;79;41
42;Municipales;2020;1;15/03/2020;16;74;19;42;5;1211;293;293;1;10;282;30;117;23;16;49;25
43;Municipales;2020;1;15/03/2020;16;74;19;43;4;1391;326;326;2;1;323;31;112;31;19;70;27
44;Municipales;2020;1;15/03/2020;16;74;19;44;5;1536;371;371;4;3;364;46;124;42;25;68;31
45;Municipales;2020;1;15/03/2020;16;74;19;45;7;1568;499;499;6;8;485;51;213;62;22;63;49
46;Municipales;2020;1;15/03/2020;16;74;19;46;12;1840;615;615;6;6;603;73;257;89;37;70;62
47;Municipales;2020;1;15/03/2020;16;74;19;47;21;1876;736;736;3;13;720;88;302;97;52;104;47
48;Municipales;2020;1;15/03/2020;16;74;19;48;22;1875;721;721;3;9;709;83;283;133;35;88;65
49;Municipales;2020;1;15/03/2020;16;74;19;49;11;1641;540;540;1;12;527;47;231;107;33;54;39
50;Municipales;2020;1;15/03/2020;16;74;19;50;11;1095;435;435;3;7;425;53;180;52;29;38;58
51;Municipales;2020;1;15/03/2020;17;73;19;51;8;1577;448;448;8;13;427;60;142;32;32;99;40
52;Municipales;2020;1;15/03/2020;17;73;19;52;12;1544;550;550;7;10;533;74;216;62;35;79;43
53;Municipales;2020;1;15/03/2020;17;73;19;53;12;1496;498;498;3;6;489;74;168;51;26;106;40
54;Municipales;2020;1;15/03/2020;17;73;19;54;17;1570;586;586;5;11;570;63;262;79;32;65;43
55;Municipales;2020;1;15/03/2020;17;73;19;55;6;1498;380;380;4;9;367;33;161;37;13;60;29
56;Municipales;2020;1;15/03/2020;17;73;19;56;4;1401;451;451;3;9;439;44;186;52;23;72;36
57;Municipales;2020;1;15/03/2020;17;73;19;57;9;1364;325;325;5;9;311;34;124;29;17;69;16
58;Municipales;2020;1;15/03/2020;17;73;19;58;32;1615;716;718;3;8;707;68;299;140;42;75;60
59;Municipales;2020;1;15/03/2020;17;73;19;59;8;1588;654;654;3;16;635;80;249;101;47;97;38
60;Municipales;2020;1;15/03/2020;17;73;19;60;25;1616;588;588;0;5;583;66;250;87;39;65;59
61;Municipales;2020;1;15/03/2020;17;73;19;61;24;1509;579;579;2;13;564;56;244;104;26;72;45
62;Municipales;2020;1;15/03/2020;17;73;19;62;10;1623;582;582;4;9;569;44;233;109;32;83;39
63;Municipales;2020;1;15/03/2020;17;73;19;63;14;1480;534;534;1;7;526;83;195;71;36;77;42
64;Municipales;2020;1;15/03/2020;17;73;19;64;15;1609;619;619;2;10;607;60;244;95;34;84;59
65;Municipales;2020;1;15/03/2020;17;73;19;65;15;1518;591;591;4;10;577;82;229;77;48;94;36
66;Municipales;2020;1;15/03/2020;17;73;19;66;23;1599;631;631;6;7;618;83;244;104;48;70;32
67;Municipales;2020;1;15/03/2020;17;73;19;67;8;1659;557;557;6;16;535;35;224;94;35;52;74
68;Municipales;2020;1;15/03/2020;17;73;19;68;15;1595;474;474;8;4;462;48;204;57;17;76;44
69;Municipales;2020;1;15/03/2020;17;73;19;69;14;1587;481;481;8;7;466;37;206;86;23;54;33
70;Municipales;2020;1;15/03/2020;17;73;19;70;12;1357;468;469;7;2;460;50;183;47;41;75;49
71;Municipales;2020;1;15/03/2020;16;74;19;71;2;1161;327;328;5;4;319;37;131;28;11;71;29
